RS,Total Data,Sesuai,Discrepancy,% Kesesuaian
3201230 - Cibinong - April,19348,19017,331,98.29%
3201230 - Cibinong - Februari,16810,16014,796,95.26%
3201230 - Cibinong - Maret,16465,15758,707,95.71%
3216163 - Cikarang - April,14628,14360,268,98.17%
3216163 - Cikarang - Februari,1962,1876,86,95.62%
3216163 - Cikarang - Maret,11839,10132,1707,85.58%
3276017 - Cisalak - April,13486,13412,74,99.45%
3276017 - Cisalak - Februari,12355,12193,162,98.69%
3276017 - Cisalak - Maret,11442,11258,184,98.39%
3209144 - Gempol - April,3990,3564,426,89.32%
3209144 - Gempol - Februari,3640,3624,16,99.56%
3209144 - Gempol - Maret,3504,3390,114,96.75%
7106020 - MINUT - April,16268,16219,49,99.70%
7106020 - MINUT - Februari,15330,15186,144,99.06%
7106020 - MINUT - Maret,15779,15679,100,99.37%
3172553 - RSHB - April,14837,14811,26,99.82%
3172553 - RSHB - Februari,13543,13424,119,99.12%
3172553 - RSHB - Maret,12286,12185,101,99.18%
